[28, 28, 29, 35, 28, 32, 28]
[29, 34, 27, 41, 29, 29, 30]
[31, 28, 30, 28, 32, 41, 41]
[29, 33, 30, 41, 30, 30, 29]
[29, 29, 28, 30, 28, 35, 35]
[29, 29, 30, 33, 30, 27, 28]
[28, 29, 28, 36, 30, 33, 37]
[31, 31, 41, 41, 28, 33, 34]
[33, 28, 29, 27, 39, 32, 27]
[28, 32, 30, 32, 30, 34, 29]
[29, 29, 28, 31, 32, 28, 29]
[28, 30, 28, 27, 35, 29, 29]
[29, 29, 30, 34, 27, 33, 31]
[28, 32, 29, 28, 33, 27, 29]
[32, 36, 29, 32, 37, 31, 30]
[29, 38, 31, 30, 31, 28, 41]
[29, 33, 37, 41, 39, 29, 30]
[29, 31, 31, 30, 28, 29, 35]
[33, 28, 38, 30, 28, 30, 28]
[29, 29, 30, 27, 31, 27, 41]
[29, 29, 29, 28, 39, 27, 31]
[32, 30, 33, 28, 31, 29, 30]
[27, 27, 32, 29, 27, 33, 30]
[35, 32, 29, 32, 28, 29, 32]
[30, 34, 30, 29, 28, 30, 28]
[28, 32, 29, 28, 27, 27, 31]
[31, 41, 28, 38, 28, 28, 28]
[29, 29, 35, 41, 41, 38, 29]
[33, 34, 33, 32, 28, 41, 29]
[31, 28, 29, 34, 29, 36, 29]
[34, 32, 30, 28, 33, 35, 28]
[36, 32, 28, 33, 29, 30, 28]
[29, 31, 31, 29, 36, 28, 30]
[28, 29, 29, 28, 32, 31, 33]
[29, 30, 41, 28, 29, 36, 31]
[30, 41, 30, 28, 41, 31, 31]
[29, 32, 29, 34, 41, 28, 28]
[32, 28, 30, 29, 41, 28, 40]
[31, 30, 29, 34, 41, 29, 29]
[31, 28, 30, 29, 31, 41, 28]
[34, 30, 31, 29, 29, 29, 33]
[29, 28, 27, 26, 29, 28, 31]
[29, 30, 31, 41, 30, 29, 29]
[29, 32, 32, 33, 32, 35, 29]
[41, 29, 30, 31, 28, 29, 30]
[28, 29, 27, 29, 34, 38, 28]
[28, 41, 29, 28, 34, 36, 28]
[29, 28, 29, 34, 28, 30, 28]
[33, 29, 34, 27, 31, 33, 30]
[29, 28, 32, 31, 29, 29, 28]
[35, 34, 30, 28, 30, 31, 27]
[30, 27, 29, 28, 32, 29, 41]
[27, 29, 33, 30, 31, 29, 29]
[33, 26, 28, 30, 28, 33, 28]
[31, 32, 32, 38, 27, 33, 30]
[34, 41, 38, 28, 28, 39, 26]
[30, 33, 31, 28, 41, 30, 41]
[29, 36, 32, 31, 30, 28, 29]
[32, 29, 30, 31, 28, 35, 30]
[29, 29, 41, 32, 30, 29, 31]
[28, 28, 31, 28, 30, 28, 33]
[30, 34, 30, 28, 37, 28, 32]
[33, 31, 28, 41, 31, 28, 29]
[32, 29, 28, 30, 28, 30, 31]
[29, 36, 30, 28, 29, 34, 28]
[29, 31, 30, 34, 29, 28, 29]
[29, 29, 28, 29, 28, 29, 31]
[31, 33, 40, 34, 29, 30, 29]
[31, 37, 36, 33, 32, 32, 41]
[32, 29, 28, 28, 28, 28, 41]
[35, 30, 28, 30, 31, 31, 28]
[31, 29, 29, 28, 34, 32, 29]
[29, 29, 30, 28, 30, 32, 36]
[32, 31, 32, 34, 29, 33, 33]
[29, 34, 30, 41, 31, 41, 27]
[28, 34, 28, 30, 27, 41, 32]
[41, 29, 35, 29, 29, 33, 30]
[31, 41, 32, 35, 35, 29, 28]
[28, 29, 29, 30, 28, 28, 28]
[31, 28, 28, 31, 30, 29, 31]
[29, 32, 35, 29, 31, 37, 31]
[28, 40, 28, 34, 29, 29, 27]
[29, 35, 34, 41, 32, 36, 28]
[28, 41, 31, 33, 35, 34, 31]
[28, 31, 33, 33, 30, 31, 29]
[35, 41, 31, 28, 34, 33, 29]
[30, 31, 31, 29, 29, 31, 28]
[29, 28, 29, 31, 28, 28, 28]
[35, 29, 31, 30, 33, 29, 29]
[29, 35, 36, 28, 30, 28, 29]
[35, 29, 29, 33, 34, 34, 28]
[32, 30, 33, 35, 28, 34, 32]
[32, 30, 32, 31, 29, 31, 24]
[36, 37, 27, 31, 41, 30, 30]
[28, 31, 30, 31, 28, 29, 41]
[30, 30, 28, 29, 28, 28, 33]
[29, 28, 29, 36, 32, 29, 29]
[29, 32, 29, 28, 29, 28, 36]
[32, 32, 31, 33, 37, 33, 37]
[32, 30, 35, 31, 39, 30, 37]
[29, 28, 37, 30, 28, 27, 29]
[29, 28, 28, 41, 31, 31, 28]
[29, 30, 29, 31, 33, 41, 29]
[27, 27, 28, 36, 32, 28, 31]
[29, 31, 28, 28, 34, 30, 29]
[28, 31, 28, 31, 30, 30, 28]
[31, 33, 30, 28, 30, 33, 29]
[41, 31, 30, 29, 31, 28, 30]
[35, 30, 29, 28, 29, 28, 29]
[38, 28, 37, 29, 31, 28, 32]
[28, 30, 35, 34, 32, 29, 31]
[33, 31, 38, 28, 28, 29, 32]
